Lat,Lon,subarea
30.3258,-91.0459,SA71
30.3557,-91.015,SA61
30.3258,-91.015,SA72
30.494,-91.046,SA8
30.4658,-91.046,SA20
30.3557,-91.077,SA59
30.3258,-91.0768,SA70
30.3557,-91.046,SA60
30.4383,-91.046,SA28
30.3257,-91.1078,SA69
30.4939,-91.0769,SA7
30.3833,-91.1079,SA47
30.3557,-91.1079,SA58
30.4658,-91.077,SA19
30.3557,-91.1389,SA57
30.3256,-91.1389,SA68
30.3833,-91.1389,SA46
30.4938,-91.1079,SA6
30.4658,-91.1079,SA18
30.3833,-91.1699,SA45
30.3557,-91.1699,SA56
30.4658,-91.1389,SA17
30.3256,-91.1699,SA67
30.4937,-91.1389,SA5
30.3833,-91.2009,SA44
30.4658,-91.1699,SA16
30.3557,-91.2009,SA55
30.3256,-91.2009,SA66
30.4932,-91.2319,SA2
30.3255,-91.2318,SA65
30.4939,-91.2058,SA3
30.3833,-91.2319,SA43
30.3557,-91.2319,SA54
30.4657,-91.2601,SA12
30.4383,-91.2602,SA23
30.4932,-91.2601,SA1
30.3557,-91.2604,SA53
30.3255,-91.2604,SA64
30.4108,-91.2603,SA31
30.3832,-91.2603,SA42
30.3557,-90.953,SA63
30.3259,-90.9529,SA74
30.3259,-90.984,SA73
30.3557,-90.984,SA62
30.3798,-91.0155,SA50
30.3805,-90.9525,SA52
30.3789,-90.984,SA51
30.4089,-91.1088,SA37
30.4395,-91.1386,SA25
30.494,-90.9528,SA11
30.4999,-90.9899,SA10
30.4079,-90.9533,SA41
30.4064,-90.984,SA40
30.4072,-91.0147,SA39
30.3831,-91.0472,SA49
30.41,-91.0448,SA38
30.4362,-91.1073,SA26
30.412,-91.1393,SA36
30.4121,-91.1702,SA35
30.4187,-91.2322,SA32
30.489,-91.0081,SA9
30.4177,-91.2081,SA33
30.3902,-91.0775,SA48
30.4312,-91.0764,SA27
30.4122,-91.1937,SA34
30.4669,-91.1917,SA15
30.4599,-91.2316,SA13
30.4551,-91.2063,SA14
30.4932,-91.1749,SA4
30.4663,-91.0076,SA21
30.4649,-90.9618,SA22
30.4379,-91.005,SA29
30.4387,-90.9588,SA30
30.4401,-91.1736,SA24
